timestamp,label,pid,comm,rss_kb,pcpu
2026-09-04T18:50:49Z,idle,90559,python3,17792,0.3
2026-09-04T18:50:49Z,idle,90668,niri,15932,0.0
2026-09-04T18:50:49Z,idle,90749,niri,15764,0.0
2026-09-04T18:50:50Z,churn,1116,waybar,81488,6.2
2026-09-04T18:50:50Z,churn,90451,python3,17764,0.3
2026-09-04T18:50:50Z,churn,90559,python3,17792,0.2
2026-09-04T18:50:50Z,churn,90668,niri,15932,0.0
2026-09-04T18:50:50Z,churn,90749,niri,15764,0.0
2026-09-04T18:50:51Z,churn,1116,waybar,81488,6.2
2026-09-04T18:50:51Z,churn,90451,python3,17768,0.3
2026-09-04T18:50:51Z,churn,90559,python3,17796,0.3
2026-09-04T18:50:51Z,churn,90668,niri,15932,0.0
2026-09-04T18:50:51Z,churn,90749,niri,15764,0.0
2026-09-04T18:50:52Z,churn,1116,waybar,81488,6.2
2026-09-04T18:50:52Z,churn,90451,python3,17768,0.3
2026-09-04T18:50:52Z,churn,90559,python3,17796,0.3
2026-09-04T18:50:52Z,churn,90668,niri,15932,0.0
2026-09-04T18:50:52Z,churn,90749,niri,15764,0.0
2026-09-04T18:50:53Z,churn,1116,waybar,81488,6.2
2026-09-04T18:50:53Z,churn,90451,python3,17768,0.3
2026-09-04T18:50:53Z,churn,90559,python3,17796,0.3
2026-09-04T18:50:53Z,churn,90668,niri,15932,0.0
2026-09-04T18:50:53Z,churn,90749,niri,15764,0.0
2026-09-04T18:50:54Z,churn,1116,waybar,81488,6.2
2026-09-04T18:50:54Z,churn,90451,python3,17768,0.3
2026-09-04T18:50:54Z,churn,90559,python3,17796,0.3
2026-09-04T18:50:54Z,churn,90668,niri,15932,0.0
2026-09-04T18:50:54Z,churn,90749,niri,15764,0.0
2026-09-04T18:50:55Z,churn,1116,waybar,81488,6.2
2026-09-04T18:50:55Z,churn,90451,python3,17768,0.3
2026-09-04T18:50:55Z,churn,90559,python3,17796,0.3
2026-09-04T18:50:55Z,churn,90668,niri,15932,0.0
2026-09-04T18:50:55Z,churn,90749,niri,15764,0.0
2026-09-04T18:50:56Z,churn,1116,waybar,81488,6.2
2026-09-04T18:50:56Z,churn,90451,python3,17768,0.3
2026-09-04T18:50:56Z,churn,90559,python3,17796,0.3
2026-09-04T18:50:56Z,churn,90668,niri,15932,0.0
2026-09-04T18:50:56Z,churn,90749,niri,15764,0.0
2026-09-04T18:50:57Z,churn,1116,waybar,81488,6.2
2026-09-04T18:50:57Z,churn,90451,python3,17768,0.3
2026-09-04T18:50:57Z,churn,90559,python3,17796,0.3
2026-09-04T18:50:57Z,churn,90668,niri,15932,0.0
2026-09-04T18:50:57Z,churn,90749,niri,15764,0.0
2026-09-04T18:50:58Z,churn,1116,waybar,81488,6.2
2026-09-04T18:50:58Z,churn,90451,python3,17768,0.3
2026-09-04T18:50:58Z,churn,90559,python3,17796,0.3
2026-09-04T18:50:58Z,churn,90668,niri,15932,0.0
2026-09-04T18:50:58Z,churn,90749,niri,15764,0.0
2026-09-04T18:50:59Z,churn,1116,waybar,81488,6.2
2026-09-04T18:50:59Z,churn,90451,python3,17768,0.3
2026-09-04T18:50:59Z,churn,90559,python3,17796,0.3
2026-09-04T18:50:59Z,churn,90668,niri,15932,0.0
2026-09-04T18:50:59Z,churn,90749,niri,15764,0.0
2026-09-04T18:51:00Z,churn,1116,waybar,81488,6.2
2026-09-04T18:51:00Z,churn,90451,python3,17768,0.3
2026-09-04T18:51:00Z,churn,90559,python3,17796,0.3
2026-09-04T18:51:00Z,churn,90668,niri,15932,0.0
2026-09-04T18:51:00Z,churn,90749,niri,15764,0.0
2026-09-04T18:51:01Z,churn,1116,waybar,81488,6.2
2026-09-04T18:51:01Z,churn,90451,python3,17768,0.3
2026-09-04T18:51:01Z,churn,90559,python3,17796,0.3
2026-09-04T18:51:01Z,churn,90668,niri,15932,0.0
2026-09-04T18:51:01Z,churn,90749,niri,15764,0.0
2026-09-04T18:51:02Z,churn,1116,waybar,81488,6.2
2026-09-04T18:51:02Z,churn,90451,python3,17784,0.3
2026-09-04T18:51:02Z,churn,90559,python3,17860,0.3
2026-09-04T18:51:02Z,churn,90668,niri,15932,0.0
2026-09-04T18:51:02Z,churn,90749,niri,15764,0.0
2026-09-04T18:51:03Z,churn,1116,waybar,81488,6.2
2026-09-04T18:51:03Z,churn,90451,python3,17896,0.4
2026-09-04T18:51:03Z,churn,90559,python3,17912,0.4
2026-09-04T18:51:03Z,churn,90668,niri,15932,0.0
2026-09-04T18:51:03Z,churn,90749,niri,15764,0.0
2026-09-04T18:51:04Z,churn,1116,waybar,81488,6.3
2026-09-04T18:51:04Z,churn,90451,python3,17916,0.4
2026-09-04T18:51:04Z,churn,90559,python3,17932,0.4
2026-09-04T18:51:04Z,churn,90668,niri,15932,0.0
2026-09-04T18:51:04Z,churn,90749,niri,15764,0.0
2026-09-04T18:51:05Z,churn,1116,waybar,81488,6.3
2026-09-04T18:51:05Z,churn,90451,python3,17932,0.4
2026-09-04T18:51:05Z,churn,90559,python3,17932,0.4
2026-09-04T18:51:05Z,churn,90668,niri,15932,0.0
2026-09-04T18:51:05Z,churn,90749,niri,15764,0.0
2026-09-04T18:51:06Z,churn,1116,waybar,81488,6.3
2026-09-04T18:51:06Z,churn,90451,python3,17940,0.4
2026-09-04T18:51:06Z,churn,90559,python3,17948,0.4
2026-09-04T18:51:06Z,churn,90668,niri,15932,0.0
2026-09-04T18:51:06Z,churn,90749,niri,15764,0.0
2026-09-04T18:51:07Z,churn,1116,waybar,81488,6.3
2026-09-04T18:51:07Z,churn,90451,python3,17944,0.4
2026-09-04T18:51:07Z,churn,90559,python3,17952,0.4
2026-09-04T18:51:07Z,churn,90668,niri,15932,0.0
2026-09-04T18:51:07Z,churn,90749,niri,15764,0.0
2026-09-04T18:51:08Z,churn,1116,waybar,81488,6.4
2026-09-04T18:51:08Z,churn,90451,python3,17964,0.5
2026-09-04T18:51:08Z,churn,90559,python3,17956,0.4
2026-09-04T18:51:08Z,churn,90668,niri,15932,0.0
2026-09-04T18:51:08Z,churn,90749,niri,15764,0.0
2026-09-04T18:51:09Z,churn,1116,waybar,81488,6.4
2026-09-04T18:51:09Z,churn,90451,python3,17964,0.5
2026-09-04T18:51:09Z,churn,90559,python3,17956,0.5
2026-09-04T18:51:09Z,churn,90668,niri,15932,0.0
2026-09-04T18:51:09Z,churn,90749,niri,15764,0.0
